id,ПІБ,Округ,Висування,Номер і дата реєстрації,Номер та дата рішення про скасування реєстрації кандидата,Дата народження,Основні відомості,Передвиборна програма,Фотографія,Довірені особи
13,Базелюк Володимир Васильович,12,"політична партія Всеукраїнське об’єднання ""Свобода""",1142 від 22.06.2019,,13 квiтня 1980,"народився 13 квiтня 1980 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17564pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17564.jpg,Головащенко Андрій Юрійович
14,Білошкурський Олександр Валерійович,12,Самовисування,1209 від 24.06.2019,,28 серпня 1975,"народився 28 серпня 1975 року в місті Вінниця, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Консалтинг експерт груп ""Діктум-Фактум"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20355pd410f01=27.docx,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20355.jpg,"Вечірко Людмила Петрівна,Чорна Ольга Михайлівна,Швець Андрій Іванович"
15,Ваколюк Людмила Євгенівна,12,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,14 жовтня 1971,"народилася 14 жовтня 1971 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19292pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19292.jpg,
16,Верлан-Кульшенко Олена Олександрівна,12,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,13 липня 1971,"народилася 13 липня 1971 року в смт Шаргород Шаргородського району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець,  викладач кафедри патологічної анатомії, судової медицини та права, Вінницький національний медичний університет імені М.І. Пирогова, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18701pd410f01=27.docx,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18701.jpg,Жарлінський Антон Андрійович
17,Галіцька Вікторія Вікторівна,12,Самовисування,1096 від 20.06.2019,,24 грудня 1988,"народилася 24 грудня 1988 року в селі Суслівці Летичівського району Хмельницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ДИНАСТІЯ В.В."", безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17445pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17445.jpg,"Вишнівський Михайло Васильович,Насадюк Сергій Миколайович,Приймак Юлія Валеріївна"
18,Головін Ігор Володимирович,12,"ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ""",1281 від 25.06.2019,,20 липня 1975,"народився 20 липня 1975 року в місті Житомирі, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20391pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20391.jpg,
19,Грушко Сергій Сергійович,12,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",1229 від 24.06.2019,,11 липня 1990,"народився 11 липня 1990 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, житлово-будівельний кооператив ""Польський Бульвар"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19541pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19541.jpg,
20,Донець Віталій Григорович,12,Самовисування,1018 від 15.06.2019,1431 від 02.07.2019,27 лютого 1981,"народився 27 лютого 1981 року в місті Біла Церква Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, державна реабілітаційна установа ""Центр комплексної реабілітації для дітей з інвалідністю ""Промінь"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15702pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15702.jpg,
21,Драбовський Анатолій Григорович,12,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 31.07.2019,1 серпня 1958,"народився 1 серпня 1958 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, ректор, Вінницький кооперативний інститут, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21045pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21045.jpg,"Лисов Вадим Георгійович,Перфілова Лариса Євгеніївна,Тихолаз Віталій Олександрович"
22,Кривешко Сергій Сергійович,12,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",1227 від 24.06.2019,,25 грудня 1975,"народився 25 грудня 1975 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""АТП КРИВЕШКО"", безпартійний, проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19348pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19348.jpg,
23,Мазуренко Денис Анатолійович,12,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,,7 сiчня 1985,"народився 7 сiчня 1985 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21401pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21401.jpg,
24,Марцинковський Леонід Васильович,12,Самовисування,1047 від 18.06.2019,,16 серпня 1977,"народився 16 серпня 1977 року в смт Стрижавка Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керуючий партнер, адвокатське об’єднання ""Марцинковський і партнери"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16951pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16951.jpg,"Куций Костянтин Сергійович,Маркуш Марія Юріївна,Семенчук Оксана Антонівна"
25,Околіта Володимир Олександрович,12,"Політична партія ""Об’єднання ""САМОПОМІЧ""",1145 від 22.06.2019,,23 листопада 1972,"народився 23 листопада 1972 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-хірург, Вінницька обласна клінічна лікарня ім. М.І. Пирогова, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17600pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17600.jpg,"Поджаренко Андрій Володимирович,Полюхович Іван Іванович,Сарафанюк Олександр Петрович"
26,Павленко Юрій Євгенійович,12,"Політична Партія ""ПАТРІОТ""",1284 від 25.06.2019,,29 жовтня 1989,"народився 29 жовтня 1989 року в смт Стара Синява Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична Партія ""ПАТРІОТ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21624pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21624.jpg,
27,Покорук Неля Миколаївна,12,Аграрна партія України,1290 від 25.06.2019,,16 грудня 1969,"народилася 16 грудня 1969 року в селі Оленівка Вінницького району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонерка, член Аграрної партії України, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Аграрна партія України.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21628pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21628.jpg,
28,Руденко Сергій Васильович,12,Самовисування,1096 від 20.06.2019,,5 листопада 1968,"народився 5 листопада 1968 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17589pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17589.jpg,"Бондарчук Вадим Володимирович,Коновалов Олександр Володимирович"
29,Бойко Юрій Іванович,13,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",1227 від 24.06.2019,,31 травня 1962,"народився 31 травня 1962 року в селі Широка Гребля Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18858pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18858.jpg,"Баранов Вячеслав Васильович,Гуменюк Леонід Григорович"
30,Вербецький Андрій Олегович,13,Самовисування,1116 від 21.06.2019,,11 листопада 1993,"народився 11 листопада 1993 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАЦІОНАЛЬНИЙ КОРПУС"", проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17928pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17928.jpg,
31,Колесник Ірина Миколаївна,13,"Політична Партія ""ГОЛОС""",1143 від 22.06.2019,,30 квiтня 1987,"народилася 30 квiтня 1987 року в місті Козятин Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, безробітна, безпартійнa, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19076pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19076.jpg,"Безнощук Наталія Вікторівна,Дмитришина Аліна Станіславівна,Машталер Наталія Василівна"
32,Крученюк Олександр Васильович,13,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,30 травня 1978,"народився 30 травня 1978 року в місті Хмільник Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в місті Хмільник Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18718pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18718.jpg,
33,Максименко Юрій Володимирович,13,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,,19 грудня 1981,"народився 19 грудня 1981 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""КУРС"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21036pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21036.jpg,"Бойко Богдан Олександрович,Казеніна Наталія Юріївна,Негода Олександра Леонідівна"
34,Матвіюк Сергій Анатолійович,13,Самовисування,1116 від 21.06.2019,,14 грудня 1978,"народився 14 грудня 1978 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Козятин Вінницької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18447pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18447.jpg,
35,Москалюк Андрій Петрович,13,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",1229 від 24.06.2019,,15 серпня 1976,"народився 15 серпня 1976 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""Барбарис"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19379pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19379.jpg,
36,Побережний Олег Володимирович,13,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",1228 від 24.06.2019,,8 серпня 1967,"народився 8 серпня 1967 року в селі Стара Гута Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, ГО ""Партія Національного Порятунку"", член ПОЛІТИЧНОЇ ПАРТІЇ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19888pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19888.jpg,
37,Реп’ях Олександр Анатолійович,13,Самовисування,966 від 10.06.2019,,23 квiтня 1983,"народився 23 квiтня 1983 року в місті Хмільник Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник директора, ТОВ ""Санаторій Поділля"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15243pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15243.jpg,Ортовський Орест Олесьович
38,Стахов Валерій Іванович,13,Самовисування,1047 від 18.06.2019,,17 жовтня 1969,"народився 17 жовтня 1969 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, селянсько-фермерське господарство ""Богдан"", безпартійний, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16475pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16475.jpg,
39,Юрчишин Петро Васильович,13,Самовисування,1018 від 15.06.2019,протокол від 30.07.2019,13 липня 1958,"народився 13 липня 1958 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15672pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15672.jpg,"Гурба Михайло Васильович,Мичківський Олег Павлович,Чеснік Володимир Анатолійович"
40,Яремчук Юрій Якович,13,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,,31 травня 1972,"народився 31 травня 1972 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21416pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21416.jpg,Слободянюк Олексій Васильович
41,Борзова Ірина Наумівна,14,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 03.08.2019,28 серпня 1982,"народилася 28 серпня 1982 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21044pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21044.jpg,"Лисак Остап Іванович,Сільницька Світлана Миколаївна,Ящук Олена Вікторівна"
